序号,职位标题,薪资范围,公司名称,工作地点,所处行业,学历要求,每周天数,实习时长,福利待遇,职位描述,简历要求,截止日期,详细地址,详情页url
486,大模型数据研发实习生-【电商】,300-400/天,快手,杭州,快手,本科,5天／周,实习5个月,大厂实习,"职位描述
1、负责电商大模型数据平台架构设计与开发，支持数据采集、加工处理、知识生产、检索、数据合成、蒸馏等；数据用途包含模型训练数据、评测数据；数据模态包含文本、图片、视频、音频等；
2、负责大模型评测平台架构设计与开发，支持模型、知识库、应用等评测任务执行，对评测结果分析并给出优化建议；
3、负责大模型标注平台架构设计与开发，实现高效、可扩展的标注系统架构，支持文本、直播视频、音频等多模态标注需求；
4、负责大模型应用平台搭建工作，包括领域知识库建设，工程工具链搭建，将大模型应用到实际业务场景。

任职要求
1、本科及以上学历，计算机相关专业，有Java相关开发经验，每周可出勤五天，实习时长5个月及以上；
2、JAVA基础扎实，熟悉IO、多线程、集合等基础框架，熟悉高并发、高性能的分布式系统设计及应用；
3、熟悉业内主流的开源中间件产品，熟练使用并了解其原理机制，有开源大数据产品如Hadoop、Hive、Spark经验的优先；
4、学习能力强，对前沿技术保持学习热情，对大模型在电商领域的应用有一定了解，有数据工程相关经验优先。", 中文,2025-12-31,浙江省/杭州市/余杭区 EFC欧美金融中心T6,https://www.shixiseng.com/intern/inn_zh3rr097ovzr?pcm=pc_SearchList
487,大模型数据生态运营实习生,120-150/天,百度,北京,百度,硕士,4天／周,实习6个月,"周末双休, 免费班车, 不打卡, 餐补","只招有转正意向的实习生哦～

工作职责
-协助对接核心产研对高质量精标数据的需求，明确需求边界
-紧密关注大模型市场动态及竞品策略，参与制定专家指导精标数据生产方案
-负责数据样例质量评估、交付数据处理整合等工作
-与内外各线条资源紧密协同，管理专家指导精标数据项目流程，确保项目交付质量

任职资格
-硕士以上学历，专业不限，大模型相关项目/运营经验优先
-有大厂实习经历及校园学生工作者优先
-有较强的业务分析能力、数据处理能力、文字功底及表达能力
-责任心强，认真负责，具有良好的团队协同能力
-能够承诺至少6个月的实习期，每周至少出勤4天，确保工作的连续性和深度参与，全勤优先
-可转正，希望同学奔着转正去", 中文,2025-12-31,北京市/北京市/海淀区 百度科技园,https://www.shixiseng.com/intern/inn_t5mr2hcsatyx?pcm=pc_SearchList
488,数据平台与应用部（7）数据产品实习生,200-300/天,滴滴,北京,滴滴,本科,4天／周,实习3个月,"晚餐, 班车, 实习证明","岗位职责（具体工作内容）
1、参与一站式大数据开发平台的产品设计和落地，包括但不限于数据开发、数据地图、智能化开发等
2、分析用户使用场景，协调上下游团队，设计产品解决方案，跟进落地以及推广使用
3、调研业界前沿动态，深入了解同类产品优劣势，提升产品使用体验
任职资格（学历、目标院校、语言、技能、性格等要求）
1、学历本科及以上，计算机科学、统计学、人工智能、工业设计等专业优先
2、可以连续实习3个月以上，每周可以实习至少4天，实习期间需要在北京
3、了解大数据基本理论，熟悉AI相关产品和应用场景，有大模型落地经验优先
4、具备良好的需求洞察、沟通协调能力", 中文,2025-12-31,北京,https://www.shixiseng.com/intern/inn_rvmbcuqyxzgr?pcm=pc_SearchList
489,商业分析实习生（AI新消费与电商选品研究方向）,薪资面议,英锘维可智能科技,杭州,英锘维可智能科技,本科,5天／周,实习3个月,"留学生实习, 远程实习, 可转正实习","【岗位职责】
 1. 消费趋势研究与爆品挖掘
 • 追踪抖音、小红书、TikTok、亚马逊、1688 等平台的热销商品榜单与新品趋势；
 • 收集并分析潮玩、个护、香水、时尚、智能硬件等品类的市场动向与品牌打法；
 • 识别具有潜力的品类与细分趋势，为团队提供选品方向建议。
 2. 品牌与供应链研究支持
 • 整理潜力品牌及供应商信息，输出《每周品牌观察报告》；
 • 对比产品设计、包装、定价策略，评估可贴牌与自研机会。
 3. 广告与销售数据追踪
 • 协助运营分析广告投放效果（ROI、CTR、转化率等），
 • 用 Notion / Excel / GPT 工具生成简明复盘表与趋势看板。
 4. 行业洞察与投资研究辅助
 • 研究新消费、AI、潮玩与创投领域的最新趋势；
 • 整理有代表性的品牌或公司案例，形成洞察摘要。

⸻

【任职要求】
 • 本科或研究生在读，经济、市场、传媒、艺术管理、商业分析等相关专业优先；
 • 具备良好的审美与品味，对潮玩、时尚、高品质生活方式、智能硬件、创业投资等领域有浓厚兴趣和深入认知；
 • 熟悉国内外品牌文化，对「设计 × 商业」有自己的理解与判断；
 • 熟练使用 Excel / ChatGPT/飞书 等信息整理与分析工具；
 • 思维清晰、逻辑严谨、表达准确，能独立输出研究报告；
 • 极强的英语阅读能力，能熟练浏览国内外品牌与趋势资讯并整合成研究分析报告。

⸻

【加分项】
 • 有新消费品牌、投资机构、咨询公司、电商平台或创意品牌实习经验；
 • 有个人品牌研究笔记、公众号文章、趋势分析作品者优先。

⸻

【你将获得】
 • 直接参与公司一线产品的决策与市场判断；
 • 学习完整的“从趋势发现 → 数据分析 → 决策输出”商业闭环；
 • 深度理解新消费、潮玩、美学品牌与AI创业交叉领域的机会；
 • 优秀者可获得转正机会

公司介绍：
我们是一家致力于将东方文化、前沿科技和极致美学完美结合的人工智能公司。我们的理念是用更有温度的科技与更有灵魂的创意，打造引领潮流的IP潮玩与智能科技产品，重塑人与自我、人与世界的互动方式，帮助人们更好地治愈自己、体验快乐、探索世界。公司的核心管理团队拥有多年海外工作与创业经验，成员曾任职于多家国际知名科技与消费品牌公司，在品牌运营、内容创意、产品研发和AI技术等领域积累了深厚经验。我们鼓励跨界人才的思想碰撞与创新实践，致力于打造一个充满想象力、敢于挑战未知和大厂的团队环境。", 中文,2025-12-13,浙江省/杭州市/滨江区 杭州上城区钱江国际时代广场,https://www.shixiseng.com/intern/inn_hxp1gwar0now?pcm=pc_SearchList
490,国际事业群IBG（18）数据开发实习生,200-300/天,滴滴,北京,滴滴,本科,4天／周,实习6个月,"晚餐, 班车, 实习证明","岗位职责（具体工作内容）
职位描述
 1.参与滴滴国际化数据体系建设
 2.参与数据采集、ETL、建模、开发、分析等标准化搭建
 3.参与数据体系化流程化治理
 4.参与业务问题拆解、转化、沟通与解决赋能
任职资格（学历、目标院校、语言、技能、性格等要求）
任职要求
 1.了解大数据生态/数据开发/分析/产品优先，包括但不限于Hadoop、Spark、Flink、StarRocks
 2.熟悉Java/Python/shell任意一门编程语言，熟练使用SQL、Excel等常用办公工具
 3.具备快速学习能力、逻辑思维能力和团队精神，有较强的责任心和学习积极性
 4.每周实习>=4天，实习周期>=6个月，北京高校、可快速到岗、有实习经验优先
 5.数学、统计学、计算机相关专业，获奖或参与过建模比赛优先", 中文,2025-12-31,北京,https://www.shixiseng.com/intern/inn_uxecmdhahy33?pcm=pc_SearchList
491,大语言模型数据管理实习生（代码方向）-Seed,200/天,字节跳动,北京,字节跳动,本科,5天／周,实习3个月,"租房补贴, 大牛带队, 免费三餐, 健身房","职位描述
项目介绍：日常实习，面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：字节跳动 Seed 团队成立于 2023 年，致力于寻找通用智能的新方法，追求智能上限。团队研究方向涵盖 LLM、语音、视觉、世界模型、基础架构、AI Infra、下一代 AI 交互等，在中国、新加坡、美国等地设有实验室和岗位。
Seed 团队在 AI 领域拥有长期愿景与决心，坚持深耕基础，期望成为世界一流的 AI 研究团队，为科技和社会发展作出贡献。目前团队已推出业界领先的通用大模型以及前沿的多模态能力，支持豆包、扣子、即梦等超过 50 个应用场景。

1、参与多个代码类大语言模型（LLM）训练项目，确保按时交付、符合质量标准并达成目标；跟踪项目进展，识别风险，并采取必要的纠正措施以保证项目按计划推进；与产品经理、研究员、数据标注员及其他跨职能团队成员建立并维护良好的合作关系；同步项目进展，解决问题并协调各方期望，确保项目成功交付；组织与全球团队的会议及讨论，确保项目顺利执行，并根据需求协调外部供应商及培训师；
2、设计、管理并优化代码类LLM训练项目的工作流程，包括训练设计、质量保证（QA）流程及效果追踪，以满足项目需求，与产品经理、项目负责人及跨职能团队紧密协作，确保质量标准与项目目标保持一致；
3、制定并维护技术指南及案例手册，确保数据生产的高质量与一致性，设计并实施稳健的数据分析策略，系统评估训练集与验证集质量；通过统计建模、可视化分析及编程方法，全面监测标注质量、模型表现及数据集覆盖度，采用分片评估、提示词敏感性测试及聚类错误分析，精准识别数据缺口、边界案例与失效模式；运用Python（Pandas/NumPy/Matplotlib）及SQL工具链，生成可落地的改进建议，保障数据管道健康度；与模型训练标注员及研发紧密协作，基于数据洞察指导训练策略调整，推动以数据为核心的项目迭代。
职位要求
1、本科及以上学历在读，计算机科学、相关技术领域专业优先；
2、1-2年编程语言（如Python/Java/Go/C）实战经验（需通过编程项目或技术岗位获得）；
3、优秀的沟通与问题解决能力，能清晰理解并传达代码相关概念，扎实的项目管理能力，擅长设计、管理及优化复杂工作流程；
4、具备英文读写能力，能与全球英文团队顺畅沟通；
5、兼具独立判断与团队协作能力，适应快节奏、项目制工作环境，对大语言模型（LLM）和计算思维有浓厚兴趣，能适应高强度工作节奏。

具备以下一个或者多个条件者优先：
1、具有RLHF标注经验，曾与领先的AI/LLM公司合作技术项目；
2、具有软件开发能力：熟悉代码库管理及软件开发流程，掌握代码最佳实践和版本控制系统（例如Git）， 了解全栈开发概念，包括前端界面、后端逻辑和数据库集成；
3、对技术学习充满热情，善于处理多样化技术案例，使用跨国团队协作，熟练使用提升项目效能的技术工具", 中文,2025-12-11,北京市/北京市/海淀区 鼎好DH3,https://www.shixiseng.com/intern/inn_cdvb68nuvsw9?pcm=pc_SearchList
492,国际事业群IBG（17）数据开发实习生,200-300/天,滴滴,北京,滴滴,本科,4天／周,实习6个月,"晚餐, 班车, 实习证明","岗位职责（具体工作内容）
1.参与滴滴国际化数据体系建设
2.参与数据采集、ETL、建模、开发、分析等标准化搭建
3.参与数据体系化流程化治理
4.参与业务问题拆解、转化、沟通与解决赋能
任职资格（学历、目标院校、语言、技能、性格等要求）
1.了解大数据生态/数据开发/分析/产品优先，包括但不限于Hadoop、Spark、Flink、StarRocks
2.熟悉Java/Python/shell任意一门编程语言，熟练使用SQL、Excel等常用办公工具
3.具备快速学习能力、逻辑思维能力和团队精神，有较强的责任心和学习积极性
4.每周实习>=4天，实习周期>=6个月，北京高校、可快速到岗、有实习经验优先
5.数学、统计学、计算机相关专业，获奖或参与过建模比赛优先", 中文,2025-12-31,北京,https://www.shixiseng.com/intern/inn_wjqbhkbxa6ch?pcm=pc_SearchList
493,商品数据运营,150/天,得物App,上海,得物App,本科,5天／周,实习3个月,"餐补, 周末双休","岗位职责（JD） ：
监控GMV、转化率等核心数据指标，分析异常波动原因
用Excel处理活动数据（ROI测算、效果复盘），输出分析结论
维护数据监控模板，协助优化自动化报表（Excel/SQL）
任职要求
岗位要求 ：
统计、商分、计算机相关专业优先，逻辑清晰，对数据敏感，擅长用Excel（VLOOKUP、透视表、图表制作）
加分项：会写基础SQL（SELECT/WHERE/JOIN等语句）；能独立完成从分析到汇报的全流程
实习期≥3个月，每周到岗5天", 中文,2026-11-8,上海市/上海市/杨浦区 互联宝地T7栋,https://www.shixiseng.com/intern/inn_nft0gukx5w7c?pcm=pc_SearchList
494,数据开发实习生,80-100/天,苏豪汇升私募基金,南京,苏豪汇升私募基金,本科,5天／周,实习3个月,"实习津贴, 地铁周边","岗位职责：
1、负责金融科技部日常文件的结构化处理及数据维护；
2、辅助数据开发工程师完成代码开发及文档编写
任职要求：
1、本科及以上，计算机、软件开发或金融工程相关专业，能够保证至少三个月且每周出勤不低于4天的线下实习；
2、熟悉MYSQL数据库，熟悉sql操作；
3、能够熟练编写python程序，具备python编码和调试能力，熟悉包括但不限于numpy,pandas等python三方包，熟悉正则表达式；
4、细致认真有责任心，具备良好的代码习惯。", 中文,2027-10-21,江苏省/南京市/秦淮区 兴业大厦 户部街15号(近常府街地铁站4号口),https://www.shixiseng.com/intern/inn_tu4oucmqys3v?pcm=pc_SearchList
495,AI数据标注员,180-250/天,微创软件,西安,微创软件,本科,4天／周,实习6个月,"留学生实习, 周末双休","岗位职责
1、参与大模型在自然科学领域的数据体系建设，包括数据采集、筛选、清洗与标注；
2、结合学科知识，设计高质量问题、答案与推理链路，提升模型在学科推理、解题和知识问答方面的能力；
3、参与构建多层次、多难度的题库与知识点图谱，确保覆盖中学、本科及研究生阶段核心知识体系；
4、与算法工程师和产品团队合作，优化大模型的科学理解与推理效果。
5、关注学科前沿动态，不断迭代数据与任务设计

任职要求
1、26届应届毕业生，本科及以上学历，专业不限；
2、对AI技术感兴趣，关注过一些比较有名的AI语言模型，了解基础的原理；
3、扎实的学科功底，具备系统的知识结构和科研训练背景。
4、对人工智能、大模型有浓厚兴趣，愿意将学科专业知识转化为高质量数据资产；
5、具备良好的逻辑思维、归纳总结与写作能力；
6、有教学、题库编写或科普经验者优先。
7、长期稳定实习6个月起，每周4天及以上", 中文,2025-12-5,陕西省/西安市/雁塔区 鱼化寨街道天谷八路西安环普科技产业园 3 期 A2 座,https://www.shixiseng.com/intern/inn_umdcmngin72i?pcm=pc_SearchList
496,数据开发实习生,500-1000/天,九坤投资,上海,九坤投资,本科,4天／周,实习6个月,"周末双休, 零基础实习, 可转正实习","岗位职责：
开发数据ETL，构建多维度数据质量体系，发现并修复数据问题，切实提升数据质量；
深入了解数据背后的业务逻辑，拆解业务需求，开发友好高效的数据管理平台。
任职要求：
本科以上学历，计算机、数学、金融工程等相关专业；
熟悉数据ETL的方法；
熟练掌握Python语言，熟悉mysql、clickhouse等数据库操作，熟悉linux操作，掌握c++加分；
了解k8s相关配置、操作及原理。", 中文,2026-5-31,上海市/上海市/浦东新区 泰康保险大厦,https://www.shixiseng.com/intern/inn_jkfrpuoxsg0s?pcm=pc_SearchList
497,数据标注实习生,150-200/天,广联达,北京,广联达,本科,5天／周,实习3个月,"实习津贴, 免费班车, 地铁周边, 餐补, 一对一导师","‌岗位职责：
1、数据标注标准输入
根据业务需求，梳理标注标准制定，并清晰输入给外包标注公司
2、数据质量检查‌
对标注结果进行交叉验证，识别并修正错误标注，及时反馈标注公司，提高数据质量及反馈效率
3、数据标注支持
对图像、文本、表格等数据进行标注，使用标注工具完成数据清洗、分类、打标签等工作。
确保标注结果符合规范，提高数据质量和标注效率。
‌4、其他任务‌
学习AI基础知识和标注工具使用。完成上级交办的其他相关工作。
任职要求：
1.本科或研究生在校学生，土木工程、建筑学专业，
2.具有强烈的自驱力，认真仔细，有耐心，有良好的学习、沟通表达和团队协作能力;
3.有算法实习经验（常见机器学习模型，深度学习应用）优先考虑", 中文,2026-4-9,北京市/北京市/海淀区 广联达大厦2期,https://www.shixiseng.com/intern/inn_jajfe0c9gs1f?pcm=pc_SearchList
498,国际事业群IBG-数据产品实习生,200-300/天,滴滴,北京,滴滴,硕士,5天／周,实习6个月,"实习证明, 晚餐补贴","岗位职责（具体工作内容）
1.负责推进数据产品或数据应用项目的规划设计、项目管理、效果验收、线上故障跟进、用户反馈与产品运营等全过程；
2.支持业务侧关于数据的需求，通过的数据产品的能力扩充，提升业务数据获取和分析的效率
3.负责日常权限运营及机制优化推进
任职资格（学历、目标院校、语言、技能、性格等要求）
1.统计、计算机、数学等相关专业优先，有O2O、电商方向的数据产品工作经验者优先；
2.英语佳，沟通能力强，善于团队协作
3.数据敏感性强，有丰富的数据分析背景，善于全面考虑产品逻辑，保证产品的全面性和通用性；", 中文,2025-12-31,北京,https://www.shixiseng.com/intern/inn_1zkqfphzpdly?pcm=pc_SearchList
499,实习生-AI数据工程师-现场/远程皆可,120-150/天,益普索,上海,益普索,本科,4天／周,实习3个月,"实习津贴, 远程实习, 留学生实习, 周末双休, 不加班","主要职责:
1. 编写数据采集，清洗的脚本;
2. 对接数据库开发，包括数据库中间件，命令行工具等;
3. 参与日常的采集->清洗->衍生计算/算法交付等一些列工作;
4. 熟悉Java、Javascript、Python 等至少一门语言
  
任职要求：
1. 熟练掌握至少一门爬虫框架，需有Python编程经验者;
2. 熟练使用MySQL(或至少使用过其他关系型数据库, 如Oracle, PostgreSQL等)；熟悉CRUD的sql语句；
3. 有基本的Linux开发，部署经验;
4. 熟悉ChatGPT等生成式AI工具的使用，有相关AI项目经验者优先
5. 具备较强的学习能力和责任心，良好的沟通能力，较强的独立思考能力。
6. 每周保证至少4天实习，实习周期不短于3个月，需现场实习", 中文,2026-2-20,上海市/上海市/黄浦区 LuOne凯德晶萃广场办公楼,https://www.shixiseng.com/intern/inn_z6rwnw4dj2aq?pcm=pc_SearchList
500,华兴资本-信息技术部-数据运营实习生,150-200/天,华兴资本,北京,华兴资本,本科,5天／周,实习3个月,"良好氛围, 快速学习","职责描述：
1.维护公司数据库，整理公司业务相关数据，进行检查、清理、分类、标注等，并录入公司内部系统；
2.根据业务部门的需要，从数据库中提取原始数据，根据适当的方法进行数据导出和统计，为业务部门提供数据支持； 
3.完成上级布置的其他任务。

任职要求：
必须具备： 
1.做事有条理，对数字敏感，能快速对各项财务运营数据进行简单计算和校对； 
2.能够耐心、细致地完成较为枯燥繁琐的工作内容，确保高质量的结果交付； 
3.熟练掌握office办公软件，尤其是Excel操作。
最好具备：
 1.统计、经管、社科、财经相关专业背景优先，最好对创业投资领域有一定兴趣；
 2.参与过企业内部IT系统或数据库建设相关工作优先；
 3.有SQL基础优先。", 中文,2026-11-5,工人体育场北路甲2号盈科中心B座 5层,https://www.shixiseng.com/intern/inn_sahnguke8i6g?pcm=pc_SearchList
501,大语言模型数据算法实习生（base深圳）,250-500/天,小鹏汽车,深圳,小鹏汽车,硕士,5天／周,实习3个月,"餐补, 一对一导师, 周末双休","【职责描述】
我们正在寻找对大语言模型(Large Language Model,LLM)充满热情的数据算法工程师,加入我们的核心AI团队。你将主要负责LLM高质量与大规模数据的采集与处理，并参与从LLM预训练、微调、推理优化到多场景应用落地的全流程工作，推动LLM技术在对话系统、内容生成、知识推理、具身智能等领域的创新

【工作职责】
1. 主导LLM数据的采集和处理，搭建高效的数据处理 Pipeline，实现从海量原始数据到可直接驱动模型训练的高质量数据的转化。
2. 打造并优化数据平台的核心模块（包括处理、标注、对齐、存储与可视化），确保数据的可追溯性与可验证性。
3. 参与大模型从预训练到后训练的全链路流程，深入分析模型对数据的敏感点，通过数据迭代持续提升模型能力。
4. 紧跟全球前沿技术动态，研究并引入最新的数据集与标准，将优秀的开源经验转化为团队的核心优势，持续扩展数据版图。

【任职要求】
1. 计算机、人工智能、自动化等相关专业硕士及以上学历。
2. 具备处理和构建LLM数据集的实际经验，熟悉LLM领域常用数据集（如DCLM、Fineweb等），掌握常用的数据处理与清洗方法。
3. 熟悉Transformer、GPT系列、LLaMA、GLM等主流模型架构，深入理解训练数据在模型训练中的作用与影响。
4. 熟练掌握Python编程语言，熟练使用PyTorch深度学习框架，具备扎实的工程能力与良好的代码习惯。
5. 思维开放，善于沟通，能够与算法、硬件及系统团队高效协作，最大化数据的业务价值。

【加分项】
1. 参与或主导过LLM预训练或后训练阶段的实际项目，熟悉从数据处理到模型迭代的完整链路。
2. 具备大规模数据处理框架（如datatrove）的实际经验，处理过Trillion级别以上的数据集。
3. 具备使用大模型进行大规模数据合成的相关经验。", 中文,2026-9-18,广东省/深圳市/南山区 深圳湾科技生态园12栋B座47层,https://www.shixiseng.com/intern/inn_brtbx4l80lwm?pcm=pc_SearchList
502,商业化-行业运营实习生-数据方向,150-200/天,哔哩哔哩,上海,哔哩哔哩,本科,4天／周,实习6个月,"上市公司, 五险一金",工作职责:1、跟进指定行业广告投放业务，提炼阶段性重点运营策略，总结方法论和优秀案例，提升广告主消耗，达成行业收入业绩目标； 2、负责日常项目监控与运营，与前场/中台/后端同学保持紧密沟通协作，推进产品覆盖提升与消耗增长； 3、输出分析报告，包括产品运营指标分析、市场/竞品分析、行业分析等，为营销策略、产品优化方向提供建议；4、整体是40%业务+60%数据（需熟练使用sql）；工作要求:1、本科及以上学历，理工科专业背景优先；2、有互联网实习经历（商业化产品or运营/商业分析/数据分析背景等）优先；3、具有较强逻辑思维能力，能够系统性的思考和分析问题，同时具有较好的总结和数据报告呈现能力；4、自驱力强，能够独立负责项目并推进； 有团队合作精神，能承担较大工作压力；5、可长期（每周5天，6个月及以上）实习者优先；, 中文 英文,2026-12-2,新江湾城街道民府路578号尚浦汇3号楼T3,https://www.shixiseng.com/intern/inn_gr2mgbz9ttt0?pcm=pc_SearchList
503,数据科学实习生（全托管方向）-TikTok Shop,150-200/天,字节跳动,上海,字节跳动,本科,4天／周,实习3个月,"健身瑜伽, 团队氛围好, 扁平管理, 用户过亿, 大牛带队, 免费三餐, 薪资优厚, 弹性工作, 租房补贴","职位描述:
日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：TikTok Shop 是 TikTok 旗下的内容电商。平台汇聚全球优质商家与创作者，通过短视频、直播等多场景连接消费者，让新奇好物畅销全球，让美好生活触手可得。目前团队分布在美国、英国、法国、印尼、墨西哥、中国等全球多个国家和地区，在这里你将有机会深入国际场景，面向全世界商家及用户，和跨区域团队协作，共同探索创新购物模式。期待和优秀的你一起创造更多可能！

1、负责业务日常数据统计分析，针对异常情况协调资源进行跟踪和深入分析；
2、运用数据分析工具和方法，深入挖掘商品相关数据，数据洞察研究，负责数据整理，数据分析，看板搭建等结合业务的数据类工作；
3、对数据洞察以及定性和定量分析，迅速定位内部问题或发现机会；
4、进行数据分析体系建设和完善，挖掘流量、产品、策略方面的业务机会。 

职位要求:
1、本科及以上学历在读，计算机、统计、数学等相关专业优先；
2、熟练使用SQL、EXCEL、Python等至少一种脚本语言，熟悉常用数据统计和分析方法；
3、良好的沟通能力、团队合作精神和主动意识；
4、良好的逻辑思维能力、业务解读能力和快速学习能力；
5、对数字比较敏感，热爱数据分析工作。", 中文,2025-11-21,中国大陆上海市杨浦区民府路678号上海新江湾广场T4号楼，邮编：200082,https://www.shixiseng.com/intern/inn_cqqqukvobzzn?pcm=pc_SearchList
504,大语言模型数据运营实习生（数理方向）- Seed,200/天,字节跳动,北京,字节跳动,本科,5天／周,实习3个月,"大牛带队, 零基础实习, 免费三餐, 租房补贴","项目介绍：日常实习，面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：字节跳动 Seed 团队成立于 2023 年，致力于寻找通用智能的新方法，追求智能上限。团队研究方向涵盖 LLM、语音、视觉、世界模型、基础架构、AI Infra、下一代 AI 交互等，在中国、新加坡、美国等地设有实验室和岗位。Seed 团队在 AI 领域拥有长期愿景与决心，坚持深耕基础，期望成为世界一流的 AI 研究团队，为科技和社会发展作出贡献。目前团队已推出业界领先的通用大模型以及前沿的多模态能力，支持豆包、扣子、即梦等超过 50 个应用场景。

数据标注与质检：参与多个预训练、后训练推理类LLM/VLM训练项目，完成SFT/RM等多类数据的标注与质检任务，确保充分理解项目规则和线上平台的使用，在规定时间内完成符合质量标准的数据交付。
数据分析与报告撰写：参与预训练数据的寻源、抓取、评估、Prompt工程，workflow搭建，协同标注团队完成数据交付，协同研发完成自动化流程搭建。参与内部和行业LLM/VLM的预训练和后训练的推理能力评估，包含测试集搭建、Prompt工程、标注规则撰写、评估多学科case（理科、文科、工科），并产出模型效果分析报告。
项目管理和跨部门协同：参与设计、管理数理类模型数据项目的项目管理，包括标注规则制定、跟踪项目进展、项目风险识别与解决等，协同内部数据标注团队和外部供应商确保项目按预期交付。与产品经理、研究员、数据标注员及其他跨职能团队成员建立并维护良好的合作关系，参与跨团队、跨职能、跨时区项目会议。

Qualifications
本科及以上学历在读，具备 STEM 学科（如工程学、数学、计算机科学）或定量 / 分析非 STEM 领域（如社会学、统计学或经济学）的学术背景者优先。
LLM/VLM产品的深度用户，有数据标注及质检、数据规则编写、Prompt工程、Agent/Workflow搭建等经验者优先。
沟通清晰高效，逻辑思维强，扎实的问题解决能力和执行能力，工作细致认真，踏实负责。
对人工智能、大语言模型和人机交互有浓厚兴趣，热衷于学习、实验，并能跨不同内容领域和团队开展工作，适应快节奏、项目制工作环境。
加分项：具备英文读写能力，能与全球英文团队顺畅沟通。", 不限,2025-12-11,北京市/北京市/海淀区 鼎好DH3,https://www.shixiseng.com/intern/inn_gooaerpgg8h6?pcm=pc_SearchList
505,Intern_AD Data SW Dev / 辅助驾驶数据采集软件开发实习生 ID195338,250-300/天,梅赛德斯-奔驰,北京,梅赛德斯-奔驰,本科,4天／周,实习6个月,"午餐补贴, 免费班车, 发展空间大","[6 months, 4-5 days/week]

Name of Project: Passenger car AD project

Objectives: 
- Understand the Mercedes-Benz onboard software development approach, collaboration mode and standards
- Understand data collection on vehicle and data transmission pipeline from vehicle to cloud
- Contribute to data visualization tools
- Contribute to embedded system software development
- Have opportunity to work with top level industry cloud experts. Learn the work style, and understand how to learn new knowledge by themselves in the changing worlds.
- Contribute new idea to innovation projects.

Main Tasks: 
- Python programming for data visualization tools
- C++ programming for embedded system
- Onboard software testbench commissioning
- Automation test-set development

Learning Opportunities: 
- Work with top senior onboard software developer in the industry
- Learn the industry leading in-car software architecture.
- Onhands experience in building a software component and to be familiar with self-driving function development
- Have opportunity to use the world leading latest hardware/chips/devices like SOC which cannot find outside Mercedes-Benz
- Work with world leading cloud experts from Tencent, Bytedance, Azure, Mercedes-Benz
- Understand China specification in self-driving car development industry like compliance cloud

Key Qualifications: 
- Proficient in C/C++- Proficient in Python or shell script
- Proficient in linux operation system
- Basic knowledge on computer architecture and software engineering
- Capable to use git, docker, and other software developing tools
- Capable to write and maintain documentation for software development
- Proficient in performance analysis tools like gdb, valgrind, perf
- Understanding of communication protocols (CAN, LIN, SOME/IP) or have experience in using CANOE

Education: 
Degree: Bachelor or above
Major: Computer Science or Electrical Engineering", 中文,2026-1-7,北京市/北京市/朝阳区,https://www.shixiseng.com/intern/inn_87jdfhb31ixh?pcm=pc_SearchList
506,市场分析实习生（prefer 今年12月毕业的应届毕业生）,100-150/天,福莱公关,上海,福莱公关,不限,5天／周,实习3个月,可转正实习,"工作职责:
基于多维大数据，包括社交舆情、电商数据、官网数据、广告监测数据数据等，并结合调研数据，为广告主的数字营销活动提供效果评估和优化建议、为品牌提供内容营销策略和媒介策略咨询等.
1、在调研数据基础上，有效整合网络舆情等多维数据提炼有价值的洞察；
2、能够独立负责如下工作：日常客户沟通、日常项目管理、项目设计和报告分析撰写等
3、能够基于客户需求，灵活利用多维数据，通过创新型的洞察解决方案，提供更有价值的商业洞察
4、多个项目同时协同，有着优秀的项目进度和质量掌控的能力

任职资格:
1、 市场研究行业工作经验，有多维度数据整合分析的经验优先 
2、市场营销、统计学、社会学、心理学等专业优先
3、优秀的学习能力和沟通能力（包括英语的沟通能力）
4、擅于沟通和表达，良好的服务意识和团队合作精神，社交媒体的中重度使用者
5、具备较强的组织协调能力、做事积极主动、责任心强、具备较强的抗压能力", 中文,2026-11-5,上海市/上海市/静安区 上海静安区1788国际中心1107室福莱希乐,https://www.shixiseng.com/intern/inn_taoift6eklaw?pcm=pc_SearchList
